Geography,BusinessLine,Account,SubCategory,Period,Value
AFR,Digital Workplace,OTIS,Revenue External,001.2024,3.952866809
AFR,Digital Workplace,OTIS,ER Sales of Service,001.2024,3.952866809
AFR,Digital Workplace,OTIS,COGS,001.2024,-0.113907992
AFR,Digital Workplace,OTIS,COGS - Purchase for reselling,001.2024,-0.113907992
AFR,Digital Workplace,OTIS,Non Personnel Costs,001.2024,-0.00276192
AFR,Digital Workplace,OTIS,Telecom costs,001.2024,-0.00276192
AFR,Digital Workplace,OTIS,Non-CH,001.2024,-0.142432214
AFR,Digital Workplace,OTIS,Dep of fixed assets,001.2024,-0.142432214
AFR,Digital Workplace,OTIS,OM,001.2024,3.693764682
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Revenue Total,001.2024,0.877865704
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Revenue External,001.2024,0.877865704
AFR,Digital Workplace,SIEMENS HEALTHINEERS,ER Sales of Service,001.2024,0.877865704
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Personnel Costs,001.2024,-0.372462184
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Personnel Expenses,001.2024,-0.480463603
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Personnel Expenses Direct,001.2024,-0.480463603
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Outsourced Services Direct,001.2024,0.108001419
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Outsourced Services Direct Internal,001.2024,-2.387229065
AFR,Digital Workplace,SIEMENS HEALTHINEERS,Outsourced Services Direct External,001.2024,2.495230484
AFR,Digital Workplace,SIEMENS HEALTHINEERS,OM,001.2024,0.50540352
AFR,Digital Workplace,SIEMENS ENERGY,Revenue Total,001.2024,3.088947226
AFR,Digital Workplace,SIEMENS ENERGY,Revenue External,001.2024,3.088947226
AFR,Digital Workplace,SIEMENS ENERGY,ER Sales of Service,001.2024,3.088947226
AFR,Digital Workplace,SIEMENS ENERGY,COGS,001.2024,30.6678406
AFR,Digital Workplace,SIEMENS ENERGY,COGS - Purchase for reselling,001.2024,30.6678406
AFR,Digital Workplace,SIEMENS ENERGY,Personnel Costs,001.2024,-3.067549143
AFR,Digital Workplace,SIEMENS ENERGY,Personnel Expenses,001.2024,-0.480463603
AFR,Digital Workplace,SIEMENS ENERGY,Personnel Expenses Direct,001.2024,-0.480463603
AFR,Digital Workplace,SIEMENS ENERGY,Subco Direct,001.2024,0.480463603
AFR,Digital Workplace,SIEMENS ENERGY,Subco Direct External,001.2024,0.480463603
AFR,Digital Workplace,SIEMENS ENERGY,Outsourced Services Direct,001.2024,-3.067549143
AFR,Digital Workplace,SIEMENS ENERGY,Outsourced Services Direct Internal,001.2024,-3.067549143
AFR,Digital Workplace,SIEMENS ENERGY,Non Personnel Costs,001.2024,-30.66784613
AFR,Digital Workplace,SIEMENS ENERGY,Other means of production,001.2024,-30.66784613
AFR,Digital Workplace,SIEMENS ENERGY,OM,001.2024,0.021392551
AFR,Digital Workplace,SIEMENS IT,Revenue Total,001.2024,14.96410738
AFR,Digital Workplace,SIEMENS IT,Revenue External,001.2024,14.96410738
AFR,Digital Workplace,SIEMENS IT,ER Sales of Service,001.2024,14.96410738
AFR,Digital Workplace,SIEMENS IT,Personnel Costs,001.2024,-18.08972898
AFR,Digital Workplace,SIEMENS IT,Subco Direct,001.2024,1.648577444
AFR,Digital Workplace,SIEMENS IT,Subco Direct Internal,001.2024,-1.003955523
AFR,Digital Workplace,SIEMENS IT,Subco Direct External,001.2024,2.652532967
AFR,Digital Workplace,SIEMENS IT,Outsourced Services Direct,001.2024,1.030902916
AFR,Digital Workplace,SIEMENS IT,Outsourced Services Direct Internal,001.2024,-4.047618913
AFR,Digital Workplace,SIEMENS IT,Outsourced Services Direct External,001.2024,5.078521829
AFR,Digital Workplace,SIEMENS IT,Contra-accounts,001.2024,-20.76920934
AFR,Digital Workplace,SIEMENS IT,OM,001.2024,-3.125621599
AFR,Digital Workplace,WILLIS TOWERS WATSON,Revenue Total,001.2024,5.863559112
AFR,Digital Workplace,WILLIS TOWERS WATSON,Revenue External,001.2024,5.863559112
AFR,Digital Workplace,WILLIS TOWERS WATSON,ER Sales of Service,001.2024,5.863559112
AFR,Digital Workplace,WILLIS TOWERS WATSON,Personnel Costs,001.2024,-4.006285752
AFR,Digital Workplace,WILLIS TOWERS WATSON,Subco Direct,001.2024,0.504553388
AFR,Digital Workplace,WILLIS TOWERS WATSON,Subco Direct External,001.2024,0.504553388
AFR,Digital Workplace,WILLIS TOWERS WATSON,Contra-accounts,001.2024,-4.510839139
AFR,Digital Workplace,WILLIS TOWERS WATSON,Non-CH,001.2024,-1.27091738
AFR,Digital Workplace,WILLIS TOWERS WATSON,Dep of fixed assets,001.2024,-1.27091738
AFR,Digital Workplace,WILLIS TOWERS WATSON,OM,001.2024,0.586355981
AFR,Digital Workplace,WSP GLOBAL,Revenue Total,001.2024,6.577043447
AFR,Digital Workplace,WSP GLOBAL,Revenue External,001.2024,6.577043447
AFR,Digital Workplace,WSP GLOBAL,ER Sales of Service,001.2024,6.577043447
AFR,Digital Workplace,WSP GLOBAL,Personnel Costs,001.2024,-8.33890082
AFR,Digital Workplace,WSP GLOBAL,Subco Direct,001.2024,-5.896298228
AFR,Digital Workplace,WSP GLOBAL,Subco Direct External,001.2024,-5.896298228
AFR,Digital Workplace,WSP GLOBAL,Outsourced Services Direct,001.2024,0.000699851
AFR,Digital Workplace,WSP GLOBAL,Outsourced Services Direct Internal,001.2024,0.000699851
AFR,Digital Workplace,WSP GLOBAL,Contra-accounts,001.2024,-2.443302443
AFR,Digital Workplace,WSP GLOBAL,OM,001.2024,-1.761857374
AFR,Digital Workplace,Intergroup - NAO,Revenue Total,001.2024,-2.77183782
AFR,Digital Workplace,Intergroup - NAO,Revenue Internal,001.2024,-2.77183782
AFR,Digital Workplace,Intergroup - NAO,IR Sales of Service,001.2024,-2.77183782
AFR,Digital Workplace,Intergroup - NAO,Personnel Costs,001.2024,3.309275204
AFR,Digital Workplace,Intergroup - NAO,Subco Direct,001.2024,-5.070245827
AFR,Digital Workplace,Intergroup - NAO,Subco Direct External,001.2024,-5.070245827
AFR,Digital Workplace,Intergroup - NAO,Contra-accounts,001.2024,8.379521031
AFR,Digital Workplace,Intergroup - NAO,OM,001.2024,0.537437384
AFR,Digital Workplace,Intergroup - UKI,Personnel Costs,001.2024,0.208795234
AFR,Digital Workplace,Intergroup - UKI,Subco Direct,001.2024,0.208795234
AFR,Digital Workplace,Intergroup - UKI,Subco Direct External,001.2024,0.208795234
AFR,Digital Workplace,Intergroup - UKI,Non-CH,001.2024,-0.208795234
AFR,Digital Workplace,Intergroup - UKI,Dep of fixed assets,001.2024,-0.208795234
AFR,Digital Workplace,Not assigned,Revenue Total,001.2024,17.768261
AFR,Digital Workplace,Not assigned,Revenue Internal,001.2024,17.768261
AFR,Digital Workplace,Not assigned,IR Sales of Service,001.2024,17.768261
AFR,Digital Workplace,Not assigned,Personnel Costs,001.2024,-26.53864515
AFR,Digital Workplace,Not assigned,Personnel Expenses,001.2024,-82.15838493
AFR,Digital Workplace,Not assigned,Personnel Expenses Direct,001.2024,-82.15838493
AFR,Digital Workplace,Not assigned,Subco Direct,001.2024,-31.51943942
AFR,Digital Workplace,Not assigned,Subco Direct Internal,001.2024,-8.23913251
AFR,Digital Workplace,Not assigned,Subco Direct External,001.2024,-23.28030691
AFR,Digital Workplace,Not assigned,Outsourced Services Direct,001.2024,-2.537633217
AFR,Digital Workplace,Not assigned,Outsourced Services Direct Internal,001.2024,-2.432465578
AFR,Digital Workplace,Not assigned,Outsourced Services Direct External,001.2024,-0.105167639
AFR,Digital Workplace,Not assigned,Global Recharge Direct,001.2024,-9.483466744
AFR,Digital Workplace,Not assigned,Contra-accounts,001.2024,99.16027917
AFR,Digital Workplace,Not assigned,Non Personnel Costs,001.2024,-9.748888784
AFR,Digital Workplace,Not assigned,Maintenance,001.2024,-0.048352986
AFR,Digital Workplace,Not assigned,Rent,001.2024,-3.078261054
AFR,Digital Workplace,Not assigned,Telecom costs,001.2024,-0.575895905
AFR,Digital Workplace,Not assigned,Travel expenses,001.2024,-0.98504936
AFR,Digital Workplace,Not assigned,Other insurance Premiums,001.2024,-3.122066264
AFR,Digital Workplace,Not assigned,Professional fees,001.2024,-1.797616603
AFR,Digital Workplace,Not assigned,Other expenses,001.2024,-0.141646613
AFR,Digital Workplace,Not assigned,Non-CH,001.2024,-0.159075153
AFR,Digital Workplace,Not assigned,Dep of fixed assets,001.2024,-0.159075153
AFR,Digital Workplace,Not assigned,OM,001.2024,-18.67834808
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Revenue Total,001.2024,15.6205592
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Revenue External,001.2024,15.6205592
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,ER Sales of Service,001.2024,15.6205592
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Personnel Costs,001.2024,-13.31824486
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Personnel Expenses,001.2024,-0.239853429
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Personnel Expenses Direct,001.2024,-0.239853429
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Contra-accounts,001.2024,-13.07839143
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Non Personnel Costs,001.2024,-0.248338878
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,Travel expenses,001.2024,-0.248338878
AFR,Hybrid Cloud Infra,ADMINISTRATIVE CAPITAL FOR URBAN,OM,001.2024,2.053975462
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,Revenue Total,001.2024,6.45398156
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,Revenue External,001.2024,6.45398156
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,ER Sales of Service,001.2024,6.45398156
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,Personnel Costs,001.2024,-5.164004906
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,Subco Direct,001.2024,-5.1632
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,Subco Direct External,001.2024,-5.1632
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,Contra-accounts,001.2024,-0.000804906
AFR,Hybrid Cloud Infra,ATTIJARIWAFA BANK,OM,001.2024,1.289976654
AFR,Hybrid Cloud Infra,BASF,Revenue Total,001.2024,1.00276E-05
AFR,Hybrid Cloud Infra,BASF,Revenue External,001.2024,1.00276E-05
AFR,Hybrid Cloud Infra,BASF,ER Sales of Own Software/Hardware,001.2024,1.00276E-05
AFR,Hybrid Cloud Infra,BASF,OM,001.2024,1.00276E-05
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Revenue Total,001.2024,79.66077787
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Revenue External,001.2024,79.66077787
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,ER Sales of Service,001.2024,79.66077787
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,COGS,001.2024,238.7058
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,COGS - Purchase for reselling,001.2024,238.7058
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Personnel Costs,001.2024,377.3930197
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Subco Direct,001.2024,413.0897019
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Subco Direct External,001.2024,413.0897019
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Contra-accounts,001.2024,-35.69668215
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Non Personnel Costs,001.2024,-702.0406949
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,Telecom costs,001.2024,-702.0406949
AFR,Hybrid Cloud Infra,CLUSTER FS&I - OTHER FIN SERVICES,OM,001.2024,-6.28109734
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),Revenue Total,001.2024,154.3753719
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),Revenue External,001.2024,154.3753719
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),ER Sales of Service,001.2024,154.3753719
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),Personnel Costs,001.2024,-130.0612508
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),Subco Direct,001.2024,-130.0612508
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),Subco Direct External,001.2024,-130.0612508
AFR,Hybrid Cloud Infra,CLUSTER TMT - HIGH TECH&ENG. (TECH),OM,001.2024,24.31412111
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Revenue Total,001.2024,62.23108084
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Revenue External,001.2024,62.23108084
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,ER Sales of Service,001.2024,62.23108084
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Personnel Costs,001.2024,-85.4502439
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Subco Direct,001.2024,-66.42405566
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Subco Direct External,001.2024,-66.42405566
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Contra-accounts,001.2024,-19.02618824
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Non Personnel Costs,001.2024,4.797464904
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Travel expenses,001.2024,-1.266123312
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Professional fees,001.2024,6.063588216
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Non-CH,001.2024,-0.029870165
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,Dep of fixed assets,001.2024,-0.029870165
AFR,Hybrid Cloud Infra,CLUSTER FS&I - RETAIL BANKING,OM,001.2024,-18.45156831
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Revenue Total,001.2024,24.89779737
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Revenue External,001.2024,24.89779737
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,ER Sales of Service,001.2024,24.89779737
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Personnel Costs,001.2024,-30.57795513
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Subco Direct,001.2024,-28.4267351
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Subco Direct External,001.2024,-28.4267351
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Contra-accounts,001.2024,-2.151220032
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Non Personnel Costs,001.2024,-4.657813844
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Professional fees,001.2024,1.023802808
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,Other expenses,001.2024,-5.681616653
AFR,Hybrid Cloud Infra,CLUSTER MANUF. - SERVICES,OM,001.2024,-10.33797161
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Personnel Costs,001.2024,5.153945425
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Subco Direct,001.2024,5.348473369
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Subco Direct External,001.2024,5.348473369
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Contra-accounts,001.2024,-0.194527944
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Non Personnel Costs,001.2024,-5.153945425
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Professional fees,001.2024,1.874161973
AFR,Hybrid Cloud Infra,CLUSTER TMT - TELECOM,Other expenses,001.2024,-7.028107398
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,Personnel Costs,001.2024,0.069247732
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,Subco Direct,001.2024,34.53679601
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,Subco Direct External,001.2024,34.53679601
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,Contra-accounts,001.2024,-34.46754828
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,Non Personnel Costs,001.2024,-0.3994104
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,Travel expenses,001.2024,-0.3994104
AFR,Hybrid Cloud Infra,CLUSTER FS&I - CORP&INVEST. BANKING,OM,001.2024,-0.330162668
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,Revenue Total,001.2024,1.2826
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,Revenue External,001.2024,1.2826
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,ER Sales of Service,001.2024,1.2826
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,Personnel Costs,001.2024,-1.09021
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,Subco Direct,001.2024,-0.844085123
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,Subco Direct External,001.2024,-0.844085123
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,Contra-accounts,001.2024,-0.246124877
AFR,Hybrid Cloud Infra,CLUSTER R&S - RETAIL & HOSPITALITY,OM,001.2024,0.19239
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,Revenue Total,001.2024,641.3432
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,Revenue External,001.2024,641.3432
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,ER Sales of Service,001.2024,641.3432
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,COGS,001.2024,-492.5003144
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,COGS - Purchase for reselling,001.2024,-492.5003144
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,Personnel Costs,001.2024,-125.2108934
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,Subco Direct,001.2024,-93.1491068
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,Subco Direct External,001.2024,-93.1491068
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,Contra-accounts,001.2024,-32.06178658
AFR,Hybrid Cloud Infra,CLUSTER R&S - UTILITIES,OM,001.2024,23.63199222
AFR,Hybrid Cloud Infra,ORANGE,Personnel Costs,001.2024,-1.72817148
AFR,Hybrid Cloud Infra,ORANGE,Contra-accounts,001.2024,-1.72817148
AFR,Hybrid Cloud Infra,ORANGE,OM,001.2024,-1.72817148
AFR,Hybrid Cloud Infra,MTN,Revenue Total,001.2024,167.4377192
AFR,Hybrid Cloud Infra,MTN,Revenue External,001.2024,167.4377192
AFR,Hybrid Cloud Infra,MTN,ER Sales of Service,001.2024,167.4377192
AFR,Hybrid Cloud Infra,MTN,Personnel Costs,001.2024,77.51656409
AFR,Hybrid Cloud Infra,MTN,Subco Direct,001.2024,78.8928234
AFR,Hybrid Cloud Infra,MTN,Subco Direct External,001.2024,78.8928234
AFR,Hybrid Cloud Infra,MTN,Contra-accounts,001.2024,-1.376259311
AFR,Hybrid Cloud Infra,MTN,Non Personnel Costs,001.2024,-174.9438524
AFR,Hybrid Cloud Infra,MTN,Professional fees,001.2024,13.67184973
AFR,Hybrid Cloud Infra,MTN,Other expenses,001.2024,-188.6157021
AFR,Hybrid Cloud Infra,MTN,OM,001.2024,70.01043097
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Revenue Total,001.2024,0.55968
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Revenue External,001.2024,0.55968
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,ER Sales of Service,001.2024,0.55968
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Personnel Costs,001.2024,-0.430547599
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Personnel Expenses,001.2024,-0.480463603
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Personnel Expenses Direct,001.2024,-0.480463603
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Subco Direct,001.2024,2.329344806
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Subco Direct External,001.2024,2.329344806
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Outsourced Services Direct,001.2024,-1.671672279
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Outsourced Services Direct Internal,001.2024,-1.671672279
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,Contra-accounts,001.2024,-0.607756523
AFR,Hybrid Cloud Infra,SIEMENS HEALTHINEERS,OM,001.2024,0.129132401
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Revenue Total,001.2024,3.390728
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Revenue External,001.2024,3.390728
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,ER Sales of Service,001.2024,3.390728
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Personnel Costs,001.2024,-2.918671034
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Personnel Expenses,001.2024,-0.078487191
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Personnel Expenses Direct,001.2024,-0.078487191
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Subco Direct,001.2024,0.583
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Subco Direct External,001.2024,0.583
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Contra-accounts,001.2024,-3.423183843
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Non-CH,001.2024,-0.193114319
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,Dep of fixed assets,001.2024,-0.193114319
AFR,Hybrid Cloud Infra,SIEMENS DIGITAL INDUSTRIES,OM,001.2024,0.278942646
AFR,Hybrid Cloud Infra,SIEMENS ENERGY,Revenue Total,001.2024,20.22304104
AFR,Hybrid Cloud Infra,SIEMENS ENERGY,Revenue External,001.2024,20.22304104
AFR,Hybrid Cloud Infra,SIEMENS ENERGY,ER Sales of Service,001.2024,20.22304104
AFR,Hybrid Cloud Infra,SIEMENS ENERGY,Personnel Costs,001.2024,-19.91178512
AFR,Hybrid Cloud Infra,SIEMENS ENERGY,Personnel Expenses,001.2024,-1.576872192
AFR,Hybrid Cloud Infra,SIEMENS ENERGY,Personnel Expenses Direct,001.2024,-1.576872192
